Weapon Hash,Weapon Name,Weapon Name With Season,Weapon Type,Weapon Slot,Weapon Tier,Weapon Element,Weapon Current Version,Weapon Power Cap,Is Sunset,Weapon Season,Weapon Archetype,Weapon Slot 1 Type,Weapon Slot 2 Type,Weapon Slot 3 Type,Weapon Slot 4 Type,Accuracy,Aim Assistance,Airborne Effectiveness,Ammo Capacity,Blast Radius,Charge Rate,Charge Time,Draw Time,Guard Efficiency,Guard Endurance,Guard Resistance,Handling,Impact,Inventory Size,Magazine,Weapon Range,Recoil Direction,Reload Speed,Rounds Per Minute,Shield Duration,Stability,Swing Speed,Velocity,Zoom,Slot 1 Perk 0,Slot 1 Perk 1,Slot 1 Perk 2,Slot 1 Perk 3,Slot 1 Perk 4,Slot 1 Perk 5,Slot 1 Perk 6,Slot 1 Perk 7,Slot 1 Perk 8,Slot 1 Perk 9,Slot 1 Perk 10,Slot 1 Perk 11,Slot 1 Perk 12,Slot 2 Perk 0,Slot 2 Perk 1,Slot 2 Perk 2,Slot 2 Perk 3,Slot 2 Perk 4,Slot 2 Perk 5,Slot 2 Perk 6,Slot 2 Perk 7,Slot 2 Perk 8,Slot 2 Perk 9,Slot 2 Perk 10,Slot 2 Perk 11,Slot 2 Perk 12,Slot 3 Perk 0,Slot 3 Perk 1,Slot 3 Perk 2,Slot 3 Perk 3,Slot 3 Perk 4,Slot 3 Perk 5,Slot 3 Perk 6,Slot 3 Perk 7,Slot 3 Perk 8,Slot 3 Perk 9,Slot 3 Perk 10,Slot 3 Perk 11,Slot 3 Perk 12,Slot 4 Perk 0,Slot 4 Perk 1,Slot 4 Perk 2,Slot 4 Perk 3,Slot 4 Perk 4,Slot 4 Perk 5,Slot 4 Perk 6,Slot 4 Perk 7,Slot 4 Perk 8,Slot 4 Perk 9,Slot 4 Perk 10,Slot 4 Perk 11,Slot 4 Perk 12
2149166938,Classical-42,Classical-42 (S02),Rocket Launcher,Power,Legendary,Solar,0,1060,Yes,2,Adaptive Frame,Tubes,Magazines,Frames,,,61,3,,50,,,,,,,38,,29,1,,51,38,20,,43,,52,20,Quick Launch,Confined Launch,Volatile Launch,,,,,,,,,,,Alloy Casing,Implosion Rounds,,,,,,,,,,,,Cluster Bomb,,,,,,,,,,,,,,,,,,,,,,,,,
2149166939,Countess SA/2,Countess SA/2 (S02),Rocket Launcher,Power,Legendary,Void,0,1060,Yes,2,Adaptive Frame,Tubes,Magazines,Frames,,,57,3,,50,,,,,,,41,,31,1,,74,38,20,,43,,48,20,Countermass,Hard Launch,Smart Drift Control,,,,,,,,,,,High-Velocity Rounds,Black Powder,,,,,,,,,,,,Threat Detector,,,,,,,,,,,,,,,,,,,,,,,,,
2149683300,IKELOS_SMG_v1.0.3,IKELOS_SMG_v1.0.3 (S19),Submachine Gun,Energy,Legendary,Arc,0,999999,No,19,Aggressive Frame,Barrels,Magazines,Frames,Frames,,37,13,,,,,,,,,62,22,45,28,44,90,24,750,,25,,,14,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Seraph Rounds,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,Shot Swap,Feeding Frenzy,Shoot to Loot,Perpetual Motion,Dynamic Sway Reduction,Threat Detector,Killing Wind,,,,,,,Frenzy,Tap the Trigger,Gutshot Straight,Pugilist,Surrounded,Voltshot,Rangefinder,,,,,,
2154059444,The Long Goodbye,The Long Goodbye (S04),Sniper Rifle,Energy,Legendary,Arc,0,1060,Yes,4,Adaptive Frame,Barrels,Magazines,Frames,Frames,,55,2,,,,,,,,,40,70,43,4,49,62,44,90,,48,,,40,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Extended Mag,Alloy Magazine,Armor-Piercing Rounds,High-Caliber Rounds,Ricochet Rounds,Light Mag,,,,,,,,Outlaw,Firmly Planted,Snapshot Sights,High-Impact Reserves,,,,,,,,,,Dragonfly,Fourth Time's the Charm,Rampage,Rapid Hit,,,,,,,,,
2164448701,Apostate,Apostate (S08),Sniper Rifle,Energy,Legendary,Arc,1,999999,No,8,Rapid-Fire Frame,Barrels,Magazines,Frames,Frames,,73,2,,,,,,,,,65,55,51,5,36,49,61,140,,41,,,40,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,,Lead from Gold,Killing Wind,No Distractions,Outlaw,Firmly Planted,Surplus,,,,,,,,Quickdraw,Explosive Payload,Kill Clip,Opening Shot,Wellspring,Thresh,,,,,,,
2168486467,Wicked Sister,Wicked Sister (S01),Grenade Launcher,Power,Legendary,Solar,0,1060,Yes,1,Adaptive Frame,Tubes,Magazines,Frames,,,70,6,,50,,,,,,,40,,24,5,,64,41,120,,37,,33,13,Countermass,Quick Launch,Confined Launch,,,,,,,,,,,High-Velocity Rounds,Remote Detonation,,,,,,,,,,,,Auto-Loading Holster,,,,,,,,,,,,,,,,,,,,,,,,,
2171006181,Service Revolver,Service Revolver (S03),Hand Cannon,Kinetic,Legendary,Kinetic,0,1060,Yes,3,Precision Frame,Scopes,Magazines,Frames,,,67,10,,,,,,,,,31,78,48,12,32,88,30,180,,52,,,14,TrueSight HCS,Crossfire HCS,,,,,,,,,,,,Armor-Piercing Rounds,Accurized Rounds,,,,,,,,,,,,Outlaw,,,,,,,,,,,,,,,,,,,,,,,,,
2171478765,Fatebringer,Fatebringer (S14),Hand Cannon,Kinetic,Legendary,Kinetic,0,999999,No,14,Adaptive Frame,Barrels,Magazines,Frames,Frames,,84,10,,,,,,,,,55,84,53,10,46,98,46,140,,57,,,14,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Accurized Rounds,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Alloy Magazine,Flared Magwell,,,,,,,Rewind Rounds,Killing Wind,Tunnel Vision,Osmosis,Thresh,Explosive Payload,,,,,,,,Eye of the Storm,Kill Clip,Frenzy,Opening Shot,Adrenaline Junkie,Firefly,,,,,,,
2179048386,Forerunner,Forerunner (S15),Sidearm,Kinetic,Exotic,Kinetic,0,999999,No,15,Full Stop,Barrels,Magazines,Frames,Grips,,60,30,,,,,,,,,60,35,56,15,100,96,80,200,,70,,,20,Smallbore,,,,,,,,,,,,,Flared Magwell,,,,,,,,,,,,,Pace Yourself,,,,,,,,,,,,,Smooth Grip,,,,,,,,,,,,
2185327324,The Inquisitor,The Inquisitor (S18),Shotgun,Energy,Legendary,Arc,0,999999,No,18,Pinpoint Slug Frame,Barrels,Magazines,Frames,Frames,,35,5,,,,,,,,,76,70,52,6,73,50,52,65,,50,,,12,Arrowhead Brake,Chambered Compensator,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Full Bore,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,,,,,Assault Mag,Appended Mag,Tactical Mag,Extended Mag,Steady Rounds,Accurized Rounds,Light Mag,,,,,,,Tunnel Vision,Demolitionist,Pulse Monitor,Fourth Time's the Charm,Perpetual Motion,Steady Hands,Subsistence,,,,,,,Fragile Focus,Golden Tricorn,Harmony,Opening Shot,Swashbuckler,Adrenaline Junkie,Under-Over,,,,,,
